Size,Separate Chaining First Key,Separate Chaining Second Key,Quadratic Probing First Key,Quadratic Probing Second Key
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,1,1,1,1
25,1,1,1,1
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,1,1,1
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,2,1,2,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,1,1,1
50,1,1,1,1
51,1,1,1,1
52,1,1,1,1
53,1,1,1,1
54,1,1,1,1
55,1,2,1,2
56,1,1,1,1
57,1,1,1,1
58,1,1,1,1
59,1,1,1,1
60,1,2,1,2
61,1,1,1,1
62,1,1,1,1
63,1,1,1,1
64,1,1,1,1
65,1,1,1,1
66,1,1,1,1
67,1,1,1,1
68,1,1,1,1
69,1,1,1,1
70,1,1,1,1
71,1,1,1,1
72,2,1,2,1
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,1,1,1,1
77,1,2,1,2
78,1,2,1,2
79,1,1,1,1
80,1,1,1,1
81,1,1,1,1
82,1,1,1,1
83,1,2,1,2
84,1,1,1,1
85,1,1,1,1
86,1,1,1,1
87,1,1,1,1
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,1,1,1,1
97,1,1,1,1
98,1,1,1,1
99,1,1,1,1
100,1,1,1,1
101,1,1,1,1
102,1,1,1,1
103,1,1,1,1
104,1,2,1,2
105,1,1,1,1
106,1,1,1,1
107,2,1,2,1
108,1,1,1,1
109,1,1,1,1
110,2,1,2,1
111,1,1,1,1
112,2,1,2,1
113,1,1,1,1
114,1,1,1,1
115,1,1,1,1
116,1,1,1,1
117,1,1,1,1
118,2,1,2,1
119,1,1,1,1
120,1,2,1,2
121,1,1,1,1
122,1,1,1,1
123,1,1,1,1
124,1,1,1,1
125,1,1,1,1
126,1,1,1,1
127,1,1,1,1
128,1,1,1,1
129,2,1,2,1
130,1,1,1,1
131,1,1,1,1
132,1,1,1,1
133,1,1,1,1
134,1,1,1,1
135,1,1,1,1
136,1,1,1,1
137,1,1,1,1
138,1,1,1,1
139,2,1,2,1
140,1,2,1,2
141,1,1,1,1
142,1,3,1,4
143,2,1,3,1
144,1,1,1,1
145,1,1,1,1
146,1,1,1,1
147,1,1,1,1
148,1,1,1,1
149,1,1,1,1
150,1,1,1,1
151,1,1,1,1
152,1,1,1,1
153,1,1,1,1
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,1,1,1
158,1,1,1,1
159,1,1,1,1
160,1,1,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,1,1,1
165,1,1,1,1
166,1,1,1,1
167,1,1,1,1
168,1,1,1,1
169,1,1,1,1
170,1,1,1,1
171,1,1,1,1
172,1,2,1,2
173,1,1,1,1
174,1,1,1,1
175,1,1,1,1
176,1,1,1,1
177,1,1,1,1
178,1,1,1,1
179,1,1,1,1
180,1,1,1,1
181,1,1,1,1
182,1,1,1,1
183,1,1,1,1
184,1,1,1,1
185,1,2,1,2
186,1,1,1,1
187,1,1,2,1
188,1,1,1,1
189,1,1,1,1
190,1,1,1,1
191,1,1,1,1
192,1,1,1,1
193,1,1,1,1
194,1,1,1,1
195,1,1,1,1
196,1,1,1,1
197,1,1,1,1
198,2,1,2,1
199,1,1,1,1
200,1,1,1,1
201,1,1,1,1
202,1,1,1,1
203,1,1,1,1
204,1,1,1,1
205,1,1,1,1
206,1,1,1,1
207,1,1,1,1
208,1,1,1,1
209,1,1,1,1
210,1,1,1,1
211,1,1,1,1
212,2,1,2,1
213,1,1,1,1
214,1,1,1,1
215,1,1,1,1
216,1,1,1,1
217,1,1,1,1
218,1,1,1,1
219,1,1,1,1
220,1,1,1,1
221,1,1,1,1
222,1,1,1,1
223,1,1,1,1
224,1,1,1,1
225,1,1,1,1
226,1,1,1,1
227,1,1,1,1
228,1,1,1,1
229,1,1,1,1
230,1,1,1,1
231,1,1,1,1
232,1,1,1,1
233,1,1,1,1
234,1,1,1,1
235,1,1,1,1
236,2,1,2,1
237,1,1,1,1
238,1,1,1,1
239,1,1,1,1
240,1,1,1,1
241,1,1,1,1
242,1,1,1,1
243,1,2,1,2
244,1,1,1,1
245,1,1,1,1
246,1,1,1,1
247,1,1,1,1
248,1,2,1,2
249,1,1,1,1
250,1,1,1,1
251,1,1,1,1
252,1,1,1,1
253,1,2,1,2
254,1,1,1,1
255,1,1,1,1
256,1,1,1,1
257,1,1,1,1
258,1,1,1,1
259,1,2,1,2
260,1,1,1,1
261,1,1,1,1
262,1,1,1,1
263,1,1,1,1
264,1,2,1,2
265,1,1,1,1
266,1,1,1,1
267,1,2,1,2
268,1,2,1,2
269,1,1,1,1
270,1,1,1,1
271,1,1,1,1
272,1,1,1,1
273,1,1,1,1
274,1,1,1,1
275,1,1,1,1
276,1,1,1,1
277,1,2,1,2
278,1,1,1,1
279,1,1,2,1
280,1,1,1,1
281,1,1,1,1
282,1,1,1,1
283,1,1,1,1
284,1,1,1,1
285,1,1,1,1
286,1,1,1,1
287,1,1,1,1
288,1,1,1,1
289,1,1,1,1
290,1,1,1,1
291,1,1,1,1
292,2,1,2,1
293,1,2,1,2
294,1,1,1,1
295,1,1,1,1
296,1,1,1,1
297,1,1,1,1
298,1,1,1,1
299,1,1,1,1
300,1,1,1,1
301,2,1,2,1
302,1,3,1,3
303,1,1,1,1
304,1,1,1,1
305,1,1,1,1
306,1,2,1,2
307,1,1,1,1
308,1,1,1,1
309,1,1,1,1
310,2,1,2,1
311,1,1,1,1
312,1,1,1,1
313,1,1,1,1
314,1,1,1,1
315,1,1,1,1
316,1,1,1,1
317,1,1,1,1
318,1,2,1,2
319,1,1,1,1
320,1,1,1,1
321,1,1,1,1
322,2,1,2,1
323,1,1,1,1
324,1,1,1,1
325,1,1,1,1
326,1,1,1,1
327,1,1,1,1
328,1,1,1,1
329,1,1,1,1
330,1,1,1,1
331,1,1,1,1
332,1,1,1,1
333,1,1,1,1
334,1,3,1,3
335,1,1,1,1
336,1,1,1,1
337,1,1,1,1
338,2,1,2,1
339,1,2,1,2
340,1,1,1,1
341,1,1,1,1
342,1,1,1,1
343,1,1,1,1
344,1,1,1,1
345,1,2,1,3
346,1,1,1,1
347,1,1,3,1
348,1,1,1,1
349,1,1,1,1
350,1,1,1,1
351,1,1,1,1
352,1,1,1,1
353,1,1,1,1
354,1,1,2,1
355,1,1,1,1
356,1,1,1,1
357,1,1,1,1
358,1,1,1,1
359,1,1,1,1
360,1,1,1,1
361,1,1,1,1
362,1,1,1,1
363,1,2,1,2
364,1,1,1,1
365,1,2,1,2
366,1,1,1,1
367,1,1,1,1
368,1,1,1,1
369,1,1,1,1
370,1,1,1,1
371,1,1,1,1
372,2,1,2,1
373,1,1,1,1
374,2,1,2,1
375,1,1,1,1
376,1,2,1,3
377,1,1,1,1
378,1,1,1,1
379,1,1,1,1
380,3,1,4,1
381,1,1,1,1
382,1,1,1,1
383,2,1,4,1
384,1,1,1,1
385,1,1,1,1
386,1,1,1,1
387,1,1,1,1
388,1,1,1,1
389,1,1,1,1
390,1,1,1,1
391,1,1,1,1
392,1,2,1,2
393,1,1,1,2
394,1,2,1,2
395,2,1,2,1
396,1,1,1,1
397,1,1,1,1
398,1,1,1,1
399,2,1,2,1
400,2,1,3,1
401,1,1,1,1
402,2,1,2,1
403,2,2,2,2
404,3,1,5,3
405,1,1,2,1
406,1,1,1,1
407,2,1,3,1
408,1,1,1,1
409,1,3,1,3
410,1,1,1,1
411,1,2,1,3
412,1,1,1,1
413,1,1,1,1
414,1,1,2,1
415,1,1,1,1
416,1,1,1,1
417,1,1,1,1
418,1,1,1,1
419,1,1,1,1
420,1,1,1,1
421,1,1,1,1
422,2,2,2,2
423,1,1,1,1
424,1,1,1,1
425,2,1,3,2
426,1,1,1,1
427,1,1,1,1
428,1,1,1,1
429,2,1,2,1
430,1,1,1,1
431,1,1,1,1
432,2,1,2,1
433,1,1,1,1
434,1,1,1,1
435,1,2,1,3
436,1,1,1,1
437,1,1,1,1
438,1,1,1,1
439,1,1,1,1
440,1,1,1,1
441,1,1,2,1
442,2,1,2,1
443,1,1,1,1
444,1,2,1,3
445,1,1,1,1
446,1,1,1,1
447,1,1,1,1
448,1,1,1,1
449,1,1,1,1
450,1,1,1,1
451,1,1,1,1
452,1,1,1,1
453,1,1,1,1
454,1,1,2,1
455,1,2,2,5
456,1,2,1,2
457,2,1,2,1
458,1,1,1,1
459,2,1,2,1
460,1,1,1,1
461,1,1,1,1
462,1,1,1,1
463,1,1,1,3
464,2,1,2,1
465,1,1,1,1
466,1,1,1,1
467,1,1,1,1
468,1,2,1,3
469,2,2,2,2
470,1,1,1,1
471,1,2,1,2
472,1,2,1,3
473,1,1,1,1
474,1,2,1,2
475,2,1,2,1
476,1,1,1,1
477,2,1,2,1
478,1,1,1,1
479,1,2,1,2
480,1,1,1,1
481,1,1,1,1
482,1,2,1,2
483,1,1,1,1
484,1,1,1,1
485,1,1,1,1
486,1,1,1,1
487,1,1,1,1
488,1,1,1,1
489,1,1,1,1
490,1,1,1,1
491,1,1,1,1
492,1,1,1,1
493,2,1,2,1
494,1,2,1,2
495,1,1,1,1
496,1,1,1,1
497,1,1,1,1
498,1,1,1,1
499,2,3,2,4
500,1,2,1,3
501,1,1,1,1
502,1,1,1,1
503,1,1,1,1
504,1,2,1,2
505,1,1,1,1
506,1,1,1,1
507,2,2,2,2
508,1,1,1,1
509,1,1,1,1
510,2,1,2,1
511,1,1,1,1
512,1,1,1,1
513,1,1,1,1
514,1,1,1,1
515,2,2,2,3
516,1,1,1,1
517,1,1,1,1
518,1,1,1,1
519,1,1,1,1
520,1,1,1,1
521,1,1,1,1
522,1,1,1,1
523,1,2,1,2
524,1,1,1,1
525,1,1,1,1
526,1,1,1,1
527,1,1,1,1
528,1,1,1,1
529,1,2,1,3
530,1,1,1,1
531,2,1,2,1
532,2,1,2,1
533,1,1,1,1
534,1,1,1,1
535,1,2,1,2
536,1,1,1,1
537,1,2,1,2
538,1,1,1,1
539,2,1,4,1
540,1,1,1,1
541,1,2,1,2
542,1,1,1,1
543,2,2,2,2
544,1,1,2,1
545,1,1,1,1
546,2,2,3,2
547,1,3,1,4
548,1,2,1,2
549,1,1,1,1
550,2,1,2,1
551,1,2,1,2
552,1,1,1,1
553,2,1,2,1
554,1,3,1,3
555,1,1,1,2
556,1,2,1,4
557,1,2,1,2
558,1,1,1,1
559,1,1,1,2
560,1,2,1,3
561,1,2,1,2
562,1,1,1,1
563,2,1,2,1
564,1,1,1,1
565,1,1,1,1
566,1,1,1,1
567,1,2,1,2
568,2,2,2,2
569,2,1,2,1
570,1,1,1,1
571,1,1,1,1
572,1,1,1,1
573,1,1,1,1
574,1,1,1,1
575,1,2,1,2
576,1,1,1,1
577,1,1,1,1
578,1,1,1,1
579,1,1,1,1
580,1,1,1,1
581,1,1,1,1
582,1,1,1,1
583,1,1,1,1
584,1,1,1,1
585,3,1,3,1
586,1,1,1,1
587,2,1,2,1
588,1,1,1,1
589,1,1,1,1
590,1,2,1,4
591,1,2,1,2
592,1,1,1,1
593,1,1,1,1
594,1,1,1,1
595,1,1,1,1
596,1,1,1,1
597,1,1,1,1
598,2,1,2,1
599,2,1,2,1
600,2,1,2,1
601,2,2,2,2
602,2,2,2,2
603,1,2,2,3
604,1,1,2,1
605,1,1,2,1
606,1,1,2,1
607,1,2,1,3
608,1,1,1,1
609,1,2,1,2
610,1,1,1,1
611,1,1,1,1
612,2,1,3,1
613,2,1,2,1
614,1,1,1,1
615,1,1,1,1
616,1,1,1,1
617,2,1,2,1
618,3,1,3,1
619,1,1,1,1
620,1,1,1,1
621,1,1,3,1
622,1,2,1,3
623,1,2,1,2
624,2,1,2,1
625,1,1,1,1
626,1,1,1,1
627,1,1,1,1
628,2,1,2,1
629,1,2,1,2
630,1,1,1,1
631,1,1,1,1
632,2,2,2,2
633,2,1,2,1
634,1,1,1,1
635,2,1,3,1
636,1,1,1,1
637,1,3,1,6
638,1,2,1,3
639,2,1,2,1
640,1,1,1,1
641,1,1,1,1
642,2,1,3,1
643,1,1,1,1
644,1,2,1,3
645,1,2,1,2
646,1,1,1,1
647,2,1,2,1
648,1,2,1,3
649,1,1,1,1
650,1,1,1,1
651,1,1,1,1
652,1,1,1,1
653,1,1,1,1
654,1,2,1,3
655,1,1,1,1
656,1,1,1,2
657,1,1,1,1
658,1,1,1,1
659,1,2,1,2
660,1,1,1,1
661,1,1,1,1
662,1,1,1,1
663,1,1,1,1
664,1,1,1,3
665,1,1,1,1
666,1,2,1,2
667,3,1,3,1
668,1,1,1,1
669,1,1,1,1
670,2,2,2,2
671,1,1,1,1
672,1,1,1,1
673,1,1,1,1
674,3,2,3,2
675,1,2,1,2
676,2,2,2,2
677,1,1,1,1
678,1,2,1,2
679,1,2,1,3
680,1,2,1,2
681,1,1,1,1
682,2,2,2,2
683,1,1,1,1
684,1,1,1,1
